# latent_filename	original_filename	quality_rank
3795b38b1efbbc90a9e1f6415c8c69dd451f911b6e703087d3beb18f73d47bb2_latent.pt	00000090.jpg	109
b6f06665acd9d15e7a2f9216dd7ceb6f7156f402e5801a47ebfe28cb9e1ca00c_latent.pt	00000256.jpg	110
607e4d5c346939254c26cb92e60ff99623e659131397972b03ae3ae84dab0cf7_latent.pt	00001955.jpg	113
ff4f8a7826e3e93383fdf44f14cd8ed729e784348e6fbcfcefab032a2c044fde_latent.pt	00004377.jpg	114
743e7c0c73bc091216c1be6db86267db79e5af30e610b65641a326ab0c9f5c03_latent.pt	00002731.jpg	115
eb1b69a0589b5e3e4ee85ec5ce3de00c5563330b5bff1c66d8e0c608d62f5485_latent.pt	00001453.jpg	116
dabcc10b3df82d30d39a242e2177863d3e02a51e0ea9a8f3594ce32e24644477_latent.pt	00001007.jpg	120
c7cadfb04e887a2123dd2a73ac75cf4d24a768ca57ed76c2a68b97e389f32d7a_latent.pt	00003808.jpg	121
2b9216f1d28d3f6968c691d2de82ea45df27f54814a314da3d25241bffcc1ccb_latent.pt	00000713.jpg	122
8952c732fd1da3db591a43870a0be1c0406ffe8204aab5b5936b2efb5648b75f_latent.pt	00000408.jpg	123
5797f9cfade366e2611cdd03501dbd1e3fac70a18e70748216ed04c1469efdd5_latent.pt	00000115.jpg	124
6a073e7504733a2780686476fd488f0ccbbb63d78e483175e3ae2a2286edbc29_latent.pt	00001434.jpg	125
c39891b21b8fc58549729c0132d388cd375ee9e8299383fa8795bb0474e46068_latent.pt	00002146.jpg	126
ddf41580301516a81ce4247ae1ec683046c918d19d96f5b3f7bfe2fa7c5a94c2_latent.pt	00001929.jpg	127
ba1df67fb5bbc5782dcba5443dd550b205317ba97cf0d61d338afeb48538dad4_latent.pt	00002127.jpg	128
70335dfcbd7a2869f9a8ad6c75dd5f8bbee156148c3a3bcece5a1356509f11f5_latent.pt	00002262.jpg	129
e55be1ffe46d9e7ff3db263590ee8a540cc73f3574c439475a354b954072da5d_latent.pt	00003067.jpg	130
c348a9f67b7d8bf41405c954cf28ad024cfd2289e179d524554d7a975c835e64_latent.pt	00000921.jpg	131
4af6dd175f1e89a4a931f124b446b9bee4503a987af49718abbf548f91b29e50_latent.pt	00001670.jpg	132
681b706a15a0b751cc4ae987fb2c74cb9000da3ad5001d8d1c8b11464aafb765_latent.pt	00001874.jpg	134
e23f36750a5b55ed40f42e7b30b84c463255d8823874beb9f40e5261117b4a54_latent.pt	00003584.jpg	136
854375d0a3e82a99d41f6be7bd91e0ec14532ff9bf7c9cb7d37784f69a9e06e7_latent.pt	00003274.jpg	137
343c58a7cbd599b4755dd36af1ed31bb0b5891cacc948d30d30e4d3c1ca0385b_latent.pt	00001621.jpg	138
5c8b870f3c978a155d55eeca5fb7b94f35e00d41907870ed8493bc5ec4ffeec4_latent.pt	00001416.jpg	139
62739f1da214f0473cc72c50c4ef99d08afefd092d34287cfbbe7be76442c691_latent.pt	00001127.jpg	140
0f4e865d29251a1dd25148c411ac21a835010acfa82a647d874a04566a006303_latent.pt	00003270.jpg	142
04e4283774f839683a5881f83afc01b8d03be2cc37a403117e256e44e4a5d298_latent.pt	00002227.jpg	143
6dc30ae82f6930f49e7a813c2a2b1fd5d83562e347b20745246d62f9031b6759_latent.pt	00003234.jpg	144
ed3c6abdadb843da5d94af9b6801101c803fd85cda95ee6e4160da44df6e7a2e_latent.pt	00002823.jpg	145
0cf0c7fde68d11e49330ed643400845f25f50bd642bec654a87fb652d7254eb7_latent.pt	00004502.jpg	147
8915f6ff92e8b79b6a4fe97a19c550d970938d0083cf90418c85b02e0d681805_latent.pt	00004856.jpg	148
