stem,status,shape_match,original_path,reconstruction_path,original_shape,reconstruction_shape,mse,rmse,mae,max_abs_diff,p95_abs_diff,psnr_db,ssim,pixel_equal_ratio
Places365_val_00000425,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000425.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000425_recon.png,256x256x3,256x256x3,389.0440368652344,19.724199270572033,14.240554809570312,163.0,41.0,22.23081597883772,0.947658086708341,1.52587890625e-05
Places365_val_00000426,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000426.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000426_recon.png,256x256x3,256x256x3,455.1844177246094,21.33505138790646,14.760029792785645,199.0,46.0,21.548929743790687,0.9726679115304004,0.0030670166015625
Places365_val_00000427,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000427.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000427_recon.png,256x256x3,256x256x3,728.0133666992188,26.98172282674364,19.897796630859375,175.0,56.0,19.50941007611989,0.9034587114056151,6.103515625e-05
Places365_val_00000428,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000428.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000428_recon.png,256x256x3,256x256x3,508.0723571777344,22.540460447331913,16.85282325744629,196.0,46.0,21.071547940854458,0.9043128534778327,1.52587890625e-05
Places365_val_00000429,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000429.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000429_recon.png,256x256x3,256x256x3,260.4783020019531,16.1393401972309,10.70329761505127,154.0,34.0,23.973088087152586,0.9606074210995994,0.0005035400390625
Places365_val_00000430,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000430.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000430_recon.png,256x256x3,256x256x3,294.3371276855469,17.15625622580716,12.896163940429688,134.0,35.0,23.44235313406582,0.9644183508343668,0.000152587890625
Places365_val_00000431,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000431.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000431_recon.png,256x256x3,256x256x3,318.0997314453125,17.835350611785362,14.389450073242188,125.0,34.0,23.105170584121286,0.9795951765737635,1.52587890625e-05
Places365_val_00000432,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000432.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000432_recon.png,256x256x3,256x256x3,366.4737548828125,19.14350424772885,10.591156005859375,194.0,44.0,22.490374828940404,0.9512903901985114,0.000701904296875
Places365_val_00000433,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000433.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000433_recon.png,256x256x3,256x256x3,701.2825317382812,26.48173959048539,19.328237533569336,195.0,56.0,19.67187339685022,0.9214129678497565,0.0016937255859375
Places365_val_00000434,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000434.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000434_recon.png,256x256x3,256x256x3,739.996826171875,27.2028826812872,21.14764976501465,167.0,55.0,19.438505038112545,0.8873246011222021,1.52587890625e-05
Places365_val_00000435,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000435.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000435_recon.png,256x256x3,256x256x3,346.1409606933594,18.60486389881311,12.230865478515625,152.0,41.0,22.73827366166311,0.96336030766855,3.0517578125e-05
Places365_val_00000436,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000436.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000436_recon.png,256x256x3,256x256x3,566.6948852539062,23.805354129983158,16.91029930114746,154.0,51.0,20.597310679653045,0.9342893901836812,6.103515625e-05
Places365_val_00000437,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000437.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000437_recon.png,256x256x3,256x256x3,615.7383422851562,24.81407548721403,21.338125228881836,133.0,44.0,20.236841627346102,0.8880658096972095,0.0
Places365_val_00000438,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000438.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000438_recon.png,256x256x3,256x256x3,627.8453979492188,25.056843335688132,18.15765953063965,160.0,54.0,20.152276456077292,0.89554157218845,0.0001220703125
Places365_val_00000439,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000439.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000439_recon.png,256x256x3,256x256x3,389.468017578125,19.734944073346774,15.079798698425293,118.0,41.0,22.226085608866054,0.9369114096254338,6.103515625e-05
Places365_val_00000440,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000440.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000440_recon.png,256x256x3,256x256x3,440.8349914550781,20.99607085754566,14.984868049621582,150.0,45.0,21.688043013564858,0.9451544651178215,7.62939453125e-05
Places365_val_00000441,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000441.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000441_recon.png,256x256x3,256x256x3,371.6456604003906,19.278113507301242,13.251255989074707,164.0,42.0,22.429512948312354,0.9631193239907153,0.00140380859375
Places365_val_00000442,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000442.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000442_recon.png,256x256x3,256x256x3,639.3374633789062,25.285123360958835,17.98322105407715,174.0,56.0,20.0735020725208,0.9247330093593019,6.103515625e-05
Places365_val_00000443,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000443.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000443_recon.png,256x256x3,256x256x3,478.2176208496094,21.868187415732685,15.375,155.0,47.0,21.334547863763973,0.9555510051266064,1.52587890625e-05
Places365_val_00000444,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000444.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000444_recon.png,256x256x3,256x256x3,753.208251953125,27.44463976723187,16.473318099975586,207.0,67.0,19.361652914801663,0.892215006679245,0.000244140625
Places365_val_00000445,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000445.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000445_recon.png,256x256x3,256x256x3,221.4061279296875,14.879722038051904,10.313949584960938,144.0,29.0,24.678907240486964,0.9293113977665924,0.0001373291015625
Places365_val_00000446,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000446.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000446_recon.png,256x256x3,256x256x3,183.96063232421875,13.563208776842549,9.846430778503418,152.0,27.0,25.48355467171569,0.9717357443870269,0.0
Places365_val_00000447,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000447.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000447_recon.png,256x256x3,256x256x3,364.8440856933594,19.100892274795942,13.789759635925293,205.0,38.0,22.509730503547537,0.9425109668416305,1.52587890625e-05
Places365_val_00000448,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000448.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000448_recon.png,256x256x3,256x256x3,375.9986877441406,19.390685592421445,14.87187671661377,137.0,39.0,22.37894031648954,0.9589518589378093,0.0001220703125
Places365_val_00000449,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000449.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000449_recon.png,256x256x3,256x256x3,549.2771606445312,23.436662745462105,16.141250610351562,189.0,49.0,20.732888197607465,0.9541733198392881,0.0632781982421875
Places365_val_00000450,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000450.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000450_recon.png,256x256x3,256x256x3,501.6646423339844,22.39787137953034,17.175033569335938,176.0,44.0,21.12666868132702,0.9245138916397545,6.103515625e-05
Places365_val_00000451,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000451.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000451_recon.png,256x256x3,256x256x3,596.7002563476562,24.427448830110283,14.256688117980957,213.0,54.0,20.37324136447059,0.7362750746792187,0.000579833984375
